time_orbits,dist_km,u_p_norm,u_e_norm,P_diff_frobenius
0.338018,6.99305090e+02,2.01762070e-04,9.87116722e-05,1.19968269e+07
0.339112,6.99630300e+02,1.91229484e-04,9.33265902e-05,1.52541666e+07
0.340206,6.99892456e+02,1.80650631e-04,8.82728985e-05,1.27743977e+07
0.341300,7.00088798e+02,1.71437291e-04,8.35907374e-05,1.54837841e+07
0.342394,7.00216552e+02,1.62642642e-04,7.93054105e-05,1.68375308e+07
0.343488,7.00273079e+02,1.54298063e-04,7.54516439e-05,1.66572998e+07
0.344582,7.00255905e+02,1.47406154e-04,7.20625975e-05,1.68289723e+07
0.345676,7.00162644e+02,1.41209876e-04,6.91616051e-05,1.96520177e+07
0.346770,6.99990981e+02,1.36058326e-04,6.67706476e-05,1.59073641e+07
0.347864,6.99738781e+02,1.31614180e-04,6.49051958e-05,1.21487391e+07
0.348958,6.99404102e+02,1.28430377e-04,6.35685465e-05,1.24681514e+07
0.350051,6.98985039e+02,1.26876997e-04,6.27505924e-05,1.28760376e+07
0.351145,6.98479764e+02,1.26081094e-04,6.24315639e-05,1.27278899e+07
0.352239,6.97886596e+02,1.26399225e-04,6.25856674e-05,1.13931245e+07
0.353333,6.97204027e+02,1.27628298e-04,6.31761392e-05,1.27198176e+07
0.354427,6.96430684e+02,1.29439520e-04,6.41641468e-05,1.41735260e+07
0.355521,6.95565275e+02,1.32013742e-04,6.55123202e-05,1.45356976e+07
0.356615,6.94606723e+02,1.35069288e-04,6.71798548e-05,1.48823727e+07
0.357709,6.93554115e+02,1.39151586e-04,6.91312975e-05,1.29662335e+07
0.358803,6.92406757e+02,1.43753950e-04,7.13324049e-05,1.43765511e+07
0.359897,6.91164110e+02,1.48528752e-04,7.37563984e-05,1.45836600e+07
0.360991,6.89825811e+02,1.53791971e-04,7.63813434e-05,1.46442439e+07
0.362084,6.88391685e+02,1.59570245e-04,7.91895271e-05,1.37635024e+07
0.363178,6.86861779e+02,1.65647423e-04,8.21654316e-05,1.51500035e+07
0.364272,6.85236353e+02,1.72034000e-04,8.52990635e-05,1.41153295e+07
0.365366,6.83515875e+02,1.78759105e-04,8.85825190e-05,1.52260847e+07
